,lats,lngs,city,country,ID,temperature,humidity,cloudiness,wind_speed,date
116,42.183929859340395,60.63675482656848,gurlan,UZ,1513962,291.94,38,0,5.1,09/12/2018
117,-72.11629424398355,-77.73880684628551,ushuaia,AR,3833367,281.15,75,40,7.7,09/12/2018
118,-69.06853426519807,35.220096090439796,port alfred,ZA,964432,288.624,100,0,3.16,09/12/2018
119,39.05775883216003,142.02277652163417,kamaishi,JP,2112444,297.15,69,75,6.7,09/12/2018
121,51.691772052696194,-142.0718183268071,sitka,US,4267710,295.174,76,0,7.91,09/12/2018
122,67.68875211134394,39.36040703656255,ostrovnoy,RU,556268,282.124,100,92,8.21,09/12/2018
123,-56.15416044446171,-102.39444724616877,punta arenas,CL,3874787,280.15,70,40,15.4,09/12/2018
124,36.25608432901301,-168.7374287998003,kapaa,US,5848280,301.12,90,75,9.8,09/12/2018
125,9.231165315166834,-46.7955897066243,cayenne,GF,3382160,298.15,100,20,4.11,09/12/2018
126,21.563857048986094,159.02722387217,butaritari,KI,2110227,300.824,100,44,3.76,09/12/2018
127,-42.3262604318457,8.284001817585562,cape town,ZA,3369157,286.15,82,75,6.2,09/12/2018
128,84.49930441243256,92.89609028726971,talnakh,RU,1490256,276.924,90,36,4.36,09/12/2018
129,-48.916489212057655,-32.137407206721576,cidreira,BR,3466165,289.224,84,24,6.21,09/12/2018
130,-32.53830203055356,-93.12898279071476,lebu,ET,344979,289.024,86,8,1.76,09/12/2018
131,-78.01419599981799,141.3274785487493,hobart,AU,2163355,292.15,39,40,9.8,09/12/2018
132,-59.12172212743096,-140.86096132995473,rikitea,PF,4030556,296.874,97,92,5.91,09/12/2018
134,-59.07473036564482,-21.06038364717338,cidreira,BR,3466165,289.224,84,24,6.21,09/12/2018
135,-12.462643161885538,-104.10172522170986,puerto ayora,EC,3652764,294.424,100,80,4.91,09/12/2018
136,52.54365295881232,-165.71274550158054,bethel,US,5880568,286.45,69,1,3.1,09/12/2018
137,-52.6704945990773,79.57470188018573,mahebourg,MU,934322,294.15,83,40,0.5,09/12/2018
138,-23.783420935869316,-113.33023061064586,rikitea,PF,4030556,296.874,97,92,5.91,09/12/2018
139,50.705180902065905,103.69564362654546,bayangol,MN,2030159,280.274,82,80,6.46,09/12/2018
140,4.324397911987177,-8.847360672230366,harper,US,4696310,296.64,81,40,1.46,09/12/2018
142,80.86132127612788,-65.26417499834952,narsaq,GL,3421719,275.15,74,0,2.1,09/12/2018
143,58.226229645665086,-167.8046112895347,bethel,US,5880568,286.45,69,1,3.1,09/12/2018
